absolute_magnitude_h,close_approach_date,miss_distance_astronomical,miss_distance_lunar,miss_distance_kilometers,miss_distance_miles,relative_velocity_kph,relative_velocity_kps,relative_velocity_mph,estimated_max_diameter_kilometers,estimated_min_diameter_kilometers,estimated_max_diameter_miles,estimated_min_diameter_miles,id,is_potentially_hazardous,is_sentry_object,name
18.9,2018-01-01,0.2631397949,102.3613802161,39365152.829276863,24460371.7256041894,86858.2710084787,24.1272975024,53970.3517830183,0.9863702813,0.4411182,0.6129018881,0.2740980571,2189173,False,False,189173 (2002 XY4)
20.4,2018-01-01,0.3284894538,127.7823975282,49141322.605943406,30535001.9404787628,63362.5171494365,17.6006992082,39371.0040587707,0.4943561926,0.2210828104,0.3071786018,0.137374447,3078262,True,False,(2001 LD)
25.2,2018-01-01,0.3223900496,125.4097292944,48228864.729354352,29968026.9069479776,52407.8892298642,14.5577470083,32564.2242828564,0.0542050786,0.0242412481,0.0336814639,0.0150628086,3703547,False,False,(2015 AN44)
25.5,2018-01-01,0.4254732738,165.5091035082,63649895.502406806,39550211.0975376828,53336.0196299012,14.8155610083,33140.9284194795,0.0472106499,0.0211132445,0.0293353287,0.0131191578,3581599,False,False,(2011 TP6)
23.0,2018-01-01,0.4687370262,182.3387031918,70122060.709654194,43571828.0724641172,30451.8990594939,8.4588608499,18921.6258350505,0.1492931834,0.0667659413,0.0927664547,0.0414864197,3635077,False,False,(2013 HO11)
21.1,2018-01-01,0.1619483284,62.9978997476,24227124.978700508,15054037.3967746904,47887.900802789,13.3021946674,29755.6792515997,0.358129403,0.160160338,0.2225312253,0.0995189894,3672906,True,False,(2014 KT76)
25.0,2018-01-01,0.2197792307,85.4941207423,32878504.782958609,20429755.5317784442,18761.8646728463,5.2116290758,11657.8930796361,0.0594346868,0.02658,0.0369309908,0.0165160412,3771022,False,False,(2017 EB3)
25.5,2018-01-01,0.0487563122,18.9662054458,7293840.454175014,4532182.2981386332,14690.5725971076,4.0807146103,9128.1505117972,0.0472106499,0.0211132445,0.0293353287,0.0131191578,3792462,False,False,(2017 YD)
21.5,2018-01-01,0.2091377461,81.3545832329,31286561.353160807,19440567.7537488566,16298.5846482879,4.5273846245,10127.3066665987,0.2978790628,0.1332155667,0.1850934111,0.0827762899,3789608,False,False,(2017 WY12)
20.0,2018-01-01,0.1135862609,44.1850554901,16992262.691904283,10558502.4324857854,63127.5263324543,17.5354239812,39224.9899036297,0.5943468684,0.2658,0.369309908,0.1651604118,3794979,True,False,(2017 YR1)
22.4,2018-01-01,0.1055310915,41.0515945935,15787226.507175105,9809727.668442249,49625.2296893254,13.7847860248,30835.1878589033,0.1968067451,0.0880146521,0.122290004,0.0546897524,3263448,False,False,(2004 XK14)
18.7,2018-01-02,0.2702374383,105.1223634987,40426945.163936421,25120138.8885517698,62851.209131898,17.4586692033,39053.297140873,1.0815335068,0.4836764882,0.6720335566,0.3005425432,3556960,False,False,(2011 CO2)
26.5,2018-01-02,0.3120025616,121.3689964624,46674918.649903792,29002449.5875926496,60817.6784213341,16.8937995615,37789.7402390784,0.0297879063,0.0133215567,0.0185093411,0.008277629,3623682,False,False,(2013 AF53)
23.7,2018-01-02,0.3327382752,129.4351890528,49776937.237393824,30929954.5582658112,40970.9353952678,11.3808153876,25457.7459404652,0.1081533507,0.0483676488,0.0672033557,0.0300542543,3694776,False,False,(2014 UC115)
23.7,2018-01-02,0.1889975739,73.5200562471,28273634.490607593,17568421.8139190634,54460.03752873,15.1277882024,33839.3494300045,0.1081533507,0.0483676488,0.0672033557,0.0300542543,3702915,False,False,(2014 YZ8)
18.4,2018-01-02,0.2702368701,105.1221424689,40426860.162426687,25120086.0710628006,62851.1756848567,17.4586599125,39053.2763581822,1.2417666126,0.5553349116,0.7715977618,0.3450690093,2504928,False,False,504928 (2011 CO2)
